Data Source in SDW: null
,FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA
,"Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Refinitiv"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status,obs. comment
2008Feb,4.3621,Normal value (A),
2008Jan,4.4815,Normal value (A),
2007Dec,4.8484,Normal value (A),
2007Nov,4.6385,Normal value (A),
2007Oct,4.6874,Normal value (A),
2007Sep,4.7417,Normal value (A),
2007Aug,4.5436,Normal value (A),
2007Jul,4.2162,Normal value (A),
2007Jun,4.1478,Normal value (A),
2007May,4.0714,Normal value (A),
2007Apr,3.9753,Normal value (A),
2007Mar,3.8909,Normal value (A),
2007Feb,3.8182,Normal value (A),
2007Jan,3.7519,Normal value (A),
2006Dec,3.6842,Normal value (A),
2006Nov,3.5972,Normal value (A),
2006Oct,3.5020,Normal value (A),
2006Sep,3.3354,Normal value (A),
2006Aug,3.2265,Normal value (A),
2006Jul,3.1022,Normal value (A),
2006Jun,2.9857,Normal value (A),
2006May,2.8890,Normal value (A),
2006Apr,2.7938,Normal value (A),
2006Mar,2.7226,Normal value (A),
2006Feb,2.6004,Normal value (A),
2006Jan,2.5117,Normal value (A),
2005Dec,2.4729,Normal value (A),
2005Nov,2.3609,Normal value (A),
2005Oct,2.1966,Normal value (A),
2005Sep,2.1391,Normal value (A),
2005Aug,2.1325,Normal value (A),
2005Jul,2.1194,Normal value (A),
2005Jun,2.1110,Normal value (A),
2005May,2.1256,Normal value (A),
2005Apr,2.1372,Normal value (A),
2005Mar,2.1372,Normal value (A),
2005Feb,2.1383,Normal value (A),
2005Jan,2.1454,Normal value (A),
2004Dec,2.1732,Normal value (A),
2004Nov,2.1703,Normal value (A),
2004Oct,2.1473,Normal value (A),
2004Sep,2.1186,Normal value (A),
2004Aug,2.1143,Normal value (A),
2004Jul,2.1160,Normal value (A),
2004Jun,2.1127,Normal value (A),
2004May,2.0859,Normal value (A),
2004Apr,2.0488,Normal value (A),
2004Mar,2.0288,Normal value (A),
2004Feb,2.0705,Normal value (A),
2004Jan,2.0895,Normal value (A),
2003Dec,2.1463,Normal value (A),
2003Nov,2.1590,Normal value (A),
2003Oct,2.1436,Normal value (A),
2003Sep,2.1473,Normal value (A),
2003Aug,2.1404,Normal value (A),
2003Jul,2.1300,Normal value (A),
2003Jun,2.1519,Normal value (A),
2003May,2.4005,Normal value (A),
2003Apr,2.5333,Normal value (A),
2003Mar,2.5300,Normal value (A),
2003Feb,2.6875,Normal value (A),
2003Jan,2.8318,Normal value (A),
2002Dec,2.9410,Normal value (A),
2002Nov,3.1241,Normal value (A),
2002Oct,3.2613,Normal value (A),
2002Sep,3.3101,Normal value (A),
2002Aug,3.3519,Normal value (A),
2002Jul,3.4100,Normal value (A),
2002Jun,3.4640,Normal value (A),
2002May,3.4671,Normal value (A),
2002Apr,3.4069,Normal value (A),
2002Mar,3.3908,Normal value (A),
2002Feb,3.3571,Normal value (A),
2002Jan,3.3388,Normal value (A),
2001Dec,3.3449,Normal value (A),
2001Nov,3.3857,Normal value (A),
2001Oct,3.5999,Normal value (A),
2001Sep,3.9829,Normal value (A),
2001Aug,4.3535,Normal value (A),
2001Jul,4.4671,Normal value (A),
2001Jun,4.4536,Normal value (A),
2001May,4.6367,Normal value (A),
2001Apr,4.6820,Normal value (A),
2001Mar,4.7086,Normal value (A),
2001Feb,4.7558,Normal value (A),
2001Jan,4.7707,Normal value (A),
2000Dec,4.9392,Normal value (A),
2000Nov,5.0920,Normal value (A),
2000Oct,5.0413,Normal value (A),
2000Sep,4.8528,Normal value (A),
2000Aug,4.7771,Normal value (A),
2000Jul,4.5829,Normal value (A),
2000Jun,4.5017,Normal value (A),
2000May,4.3620,Normal value (A),
2000Apr,3.9253,Normal value (A),
2000Mar,3.7470,Normal value (A),
2000Feb,3.5368,Normal value (A),
2000Jan,3.3431,Normal value (A),
1999Dec,3.4460,Normal value (A),
1999Nov,3.4677,Normal value (A),
1999Oct,3.3757,Normal value (A),
1999Sep,2.7267,Normal value (A),
1999Aug,2.6950,Normal value (A),
1999Jul,2.6765,Normal value (A),
1999Jun,2.6267,Normal value (A),
1999May,2.5790,Normal value (A),
1999Apr,2.6965,Normal value (A),
1999Mar,3.0467,Normal value (A),
1999Feb,3.0934,Normal value (A),
1999Jan,3.1321,Normal value (A),
1998Dec,3.3700,Normal value (A),
1998Nov,3.6900,Normal value (A),
1998Oct,3.8100,Normal value (A),
1998Sep,3.9300,Normal value (A),
1998Aug,3.9300,Normal value (A),
1998Jul,3.9500,Normal value (A),
1998Jun,4.0200,Normal value (A),
1998May,4.0600,Normal value (A),
1998Apr,4.0900,Normal value (A),
1998Mar,4.1100,Normal value (A),
1998Feb,4.2400,Normal value (A),
1998Jan,4.2600,Normal value (A),
1997Dec,4.3700,Normal value (A),
1997Nov,4.4900,Normal value (A),
1997Oct,4.4400,Normal value (A),
1997Sep,4.3100,Normal value (A),
